code,condition,svg
1000,Sunny,clear-day
1003,Partly cloudy,partly-cloudy-day
1006,Cloudy,cloudy
1009,Overcast,overcast
1030,Mist,mist
1063,Patchy rain possible,drizzle
1066,Patchy snow possible,snow
1069,Patchy sleet possible,sleet
1072,Patchy freezing drizzle possible,drizzle
1087,Thundery outbreaks possible,thunderstorms
1114,Blowing snow,snowflake
1117,Blizzard,thunderstorms-snow
1135,Fog,fog
1147,Freezing fog,fog
1150,Patchy light drizzle,drizzle
1153,Light drizzle,drizzle
1168,Freezing drizzle,drizzle
1171,Heavy freezing drizzle,drizzle
1180,Patchy light rain,drizzle
1183,Light rain,drizzle
1186,Moderate rain at times,rain
1189,Moderate rain,rain
1192,Heavy rain at times,rain
1195,Heavy rain,rain
1198,Light freezing rain,rain
1201,Moderate or heavy freezing rain,rain
1204,Light sleet,sleet
1207,Moderate or heavy sleet,sleet
1210,Patchy light snow,partly-cloudy-day-snow
1213,Light snow,snow
1216,Patchy moderate snow,snow
1219,Moderate snow,snow
1222,Patchy heavy snow,snow
1225,Heavy snow,snow
1237,Ice pellets,hail
1240,Light rain shower,rain
1243,Moderate or heavy rain shower,rain
1246,Torrential rain shower,rain
1249,Light sleet showers,sleet
1252,Moderate or heavy sleet showers,sleet
1255,Light snow showers,sleet
1258,Moderate or heavy snow showers,sleet
1261,Light showers of ice pellets,partly-cloudy-day-hail
1264,Moderate or heavy showers of ice pellets,hail
1273,Patchy light rain with thunder,thunderstorms-rain
1276,Moderate or heavy rain with thunder,thunderstorms-rain
1279,Patchy light snow with thunder,thunderstorms-day-snow
1282,Moderate or heavy snow with thunder,thunderstorms-snow
